id,tweet,label
80938,"@united I'm having issues. Yesterday I rebooked for 24 hours after I was supposed to fly, now I can't log on &amp; check in. Can you help?",0
10959,"@united kinda feel like the $6.99 you charge for in flight Wi-Fi is ridiculous. AND it sucks, slow, or doesn't work. #anythingtomakeabuck",0
130813,"Livid in Vegas, delayed, again&amp; again&amp;again, @SouthwestAir decided to cancel a flight and combine two, then waited on crew, now pilots.",0
146589,@united the most annoying man on earth is on my flight. what can you do to help me?,0
117579,"@united The last 2 weeks I've flown wit u, you have given me 4 reasons to convince me it was a bad decision. Time 2 go back 2 @SouthwestAir",0
95632,@AmericanAir #AmericanAirlines  Flight 1179 Miami to DC. Gate closes at least 19 minutes before the flight. Agents show up and lie to me.,0
155716,@ABC It appears @united employees have a fear of autism.,0
146677,Kids have no idea we are heading to WDW tue for an extended vacation. Can't wait to see their face boarding @JetBlue #AKV #DisneySide,0
33467,Four hour delay on my @united flight from dallas to houston. My longest delay i ever had for flight.  Going to be a late night arrival home,0
151044,@AmericanAir sitting on the runway at DFW waiting to park. I have a connection in 15 to AUS. Can they hold for a few extra minutes!? Please,0
6062,"@united don't worry I won't be flying united again, one week with two terrible trips was enough",0
87665,"""@KingBach: This flight attendant on @united airlines is extremely rude. Shoulda flown @Delta âœˆï¸""",0
65673,@AmericanAir better late than never.,0
13352,@United spent 2 days in SFO airport hotel on my dime (&amp; no lounge access) received a $250 Voucher AFTER flight cancelled due to Pilot no sho,0
37722,@5000mgmt I think your twitter was hacked. It just tweeted out a compliment instead of a complaint to @united.,0
37811,@JetBlue NOT a good move. Arent the lower gas prices good enough to reach the bottom line? http://t.co/sweFUSGZfK,0
119965,@TSAmedia_RossF hmm ... That's the issue?? All TSA employees and no airport/@DeltaAssist. Maybe we need #LessBlueShirtsMoreLeaders,0
83222,@JetBlue LOVES cancelling flights!! Get me home to NY please!!,0
33650,@united I'm crying. We will lose $644 if we cancel our cruise but it costs too much to get the tickets. This is nuts. :(,0
65887,@JoshMcDermitt @VirginAmerica oh that's not good.,0
133416,Our flight reservation was arbitratrily cancelled by @United. And they don't even know why. LOL United is a joke airline. Never again.,0
49397,Bed time when WiFi doesn't work on @Southwestair as expected. Hope clients aren't pissed. Missed work deadlines. http://t.co/RVxy1Rv8Jx,0
129190,@AmericanAir   How much longer is my delay???  I wanna see my baby!!!,0
38453,@JetBlue You were my favorite airline but this news about baggage fees and cutting legroom makes you just like all the others. Bad decision!,0
98913,@SouthwestAir you guys should stop doing service in Denver it's horrible I get stuck here every time! I've been here almost 24hrs,0
144156,"@AmericanAir Bos. flight attendent tells me, after others use the br that I would cause the whole plane to be late if I went in? Wtf?",0
47812,"My GRR air travel options, ranked: @Southwestair &gt; @Delta &gt; @Americanair &gt; walking barefoot to destination &gt; @United",0
172505,@jaysonstreet I wouldn't want to be trapped on a fight with a screaming kid. That said @united http://t.co/WrzJC1xLLJ,0
13915,@united my poor friend is getting sass from your customer service reps about obtaining past receipts. #badcustomerservice,0
163761,@AlaskaAir had to wait a couple hours for the next flight.,0
